Departamento,Provincia,Distrito,Municipalidades,DNI,Funcionario,Sueldo
Amazonas,Chachapoyas,null,null,null,null,0
Amazonas,Bagua,null,null,null,null,0
Amazonas,Bongará,null,null,null,null,0
Amazonas,Condorcanqui,null,null,null,null,0
Amazonas,Luya,null,null,null,null,0
Amazonas,Rodríguez de Mendoza,null,null,null,null,0
Amazonas,Utcubamba,null,null,null,null,0
Áncash,Huaraz,null,null,null,null,0
Áncash,Aija,null,null,null,null,0
Áncash,Antonio Raymondi,null,null,null,null,0
Áncash,Asunción,null,null,null,null,0
Áncash,Bolognesi,null,null,null,null,0
Áncash,Carhuaz,null,null,null,null,0
Áncash,Carlos Fermín Fitzcarrald,null,null,null,null,0
Áncash,Casma,null,null,null,null,0
Áncash,Corongo,null,null,null,null,0
Áncash,Huari,null,null,null,null,0
Áncash,Huarmey,null,null,null,null,0
Áncash,Huaylas,null,null,null,null,0
Áncash,Mariscal Luzuriaga,null,null,null,null,0
Áncash,Ocros,null,null,null,null,0
Áncash,Pallasca,null,null,null,null,0
Áncash,Pomabamba,null,null,null,null,0
Áncash,Recuay,null,null,null,null,0
Áncash,Santa,null,null,null,null,0
Áncash,Sihuas,null,null,null,null,0
Áncash,Yungay,null,null,null,null,0
Apurímac,Abancay,null,null,null,null,0
Apurímac,Andahuaylas,null,null,null,null,0
Apurímac,Antabamba,null,null,null,null,0
Apurímac,Aymaraes,null,null,null,null,0
Apurímac,Cotabambas,null,null,null,null,0
Apurímac,Chincheros,null,null,null,null,0
Apurímac,Grau,null,null,null,null,0
Arequipa,Arequipa,null,null,null,null,0
Arequipa,Camaná,null,null,null,null,0
Arequipa,Caravelí,null,null,null,null,0
Arequipa,Castilla,null,null,null,null,0
Arequipa,Caylloma,null,null,null,null,0
Arequipa,Condesuyos,null,null,null,null,0
Arequipa,Islay,null,null,null,null,0
Arequipa,La Uniòn,null,null,null,null,0
Ayacucho,Huamanga,null,null,null,null,0
Ayacucho,Cangallo,null,null,null,null,0
Ayacucho,Huanca Sancos,null,null,null,null,0
Ayacucho,Huanta,null,null,null,null,0
Ayacucho,La Mar,null,null,null,null,0
Ayacucho,Lucanas,null,null,null,null,0
Ayacucho,Parinacochas,null,null,null,null,0
Ayacucho,Sucre,null,null,null,null,0
Ayacucho,Víctor Fajardo,null,null,null,null,0
Ayacucho,Vilcas Huamán,null,null,null,null,0
Cajamarca,Cajamarca,null,null,null,null,0
Cajamarca,Cajabamba,null,null,null,null,0
Cajamarca,Celendín,null,null,null,null,0
Cajamarca,Chota,null,null,null,null,0
Cajamarca,Contumazá,null,null,null,null,0
Cajamarca,Cutervo,null,null,null,null,0
Cajamarca,Hualgayoc,null,null,null,null,0
Cajamarca,Jaén,null,null,null,null,0
Cajamarca,San Ignacio,null,null,null,null,0
Cajamarca,San Marcos,null,null,null,null,0
Cajamarca,San Pablo,null,null,null,null,0
Cajamarca,Santa Cruz,null,null,null,null,0
Callao,Prov. Const. del Callao,null,null,null,null,0
Cusco,Cusco,null,null,null,null,0
Cusco,Acomayo,null,null,null,null,0
Cusco,Anta,null,null,null,null,0
Cusco,Calca,null,null,null,null,0
Cusco,Canas,null,null,null,null,0
Cusco,Canchis,null,null,null,null,0
Cusco,Chumbivilcas,null,null,null,null,0
Cusco,Espinar,null,null,null,null,0
Cusco,La Convención,null,null,null,null,0
Cusco,Paruro,null,null,null,null,0
Cusco,Paucartambo,null,null,null,null,0
Cusco,Quispicanchi,null,null,null,null,0
Cusco,Urubamba,null,null,null,null,0
Huancavelica,Huancavelica,null,null,null,null,0
Huancavelica,Acobamba,null,null,null,null,0
Huancavelica,Angaraes,null,null,null,null,0
Huancavelica,Castrovirreyna,null,null,null,null,0
Huancavelica,Churcampa,null,null,null,null,0
Huancavelica,Huaytará,null,null,null,null,0
Huancavelica,Tayacaja,null,null,null,null,0
Huánuco,Huánuco,null,null,null,null,0
Huánuco,Ambo,null,null,null,null,0
Huánuco,Dos de Mayo,null,null,null,null,0
Huánuco,Huacaybamba,null,null,null,null,0
Huánuco,Huamalíes,null,null,null,null,0
Huánuco,Leoncio Prado,null,null,null,null,0
Huánuco,Marañón,null,null,null,null,0
Huánuco,Pachitea,null,null,null,null,0
Huánuco,Puerto Inca,null,null,null,null,0
Huánuco,Lauricocha,null,null,null,null,0
Huánuco,Yarowilca,null,null,null,null,0
Ica,Ica,null,null,null,null,0
Ica,Chincha,null,null,null,null,0
Ica,Nasca,null,null,null,null,0
Ica,Palpa,null,null,null,null,0
Ica,Pisco,null,null,null,null,0
Junín,Huancayo,null,null,null,null,0
Junín,Concepción,null,null,null,null,0
Junín,Chanchamayo,null,null,null,null,0
Junín,Jauja,null,null,null,null,0
Junín,Junín,null,null,null,null,0
Junín,Satipo,null,null,null,null,0
Junín,Tarma,null,null,null,null,0
Junín,Yauli,null,null,null,null,0
Junín,Chupaca,null,null,null,null,0
La Libertad,Trujillo,null,null,null,null,0
La Libertad,Ascope,null,null,null,null,0
La Libertad,Bolívar,null,null,null,null,0
La Libertad,Chepén,null,null,null,null,0
La Libertad,Julcán,null,null,null,null,0
La Libertad,Otuzco,null,null,null,null,0
La Libertad,Pacasmayo,null,null,null,null,0
La Libertad,Pataz,null,null,null,null,0
La Libertad,Sánchez Carrión,null,null,null,null,0
La Libertad,Santiago de Chuco,null,null,null,null,0
La Libertad,Gran Chimú,null,null,null,null,0
La Libertad,Virú,null,null,null,null,0
Lambayeque,Chiclayo,Chiclayo,MUNICIPALIDAD DE CHICLAYO,92861940,NO,0
Lambayeque,Chiclayo,Chiclayo,MUNICIPALIDAD DE CHICLAYO,92611916,NO,0
Lambayeque,Chiclayo,Chiclayo,MUNICIPALIDAD DE CHICLAYO,24176288,NO,0
Lambayeque,Chiclayo,Chongoyape,MUNICIPALIDAD DE CHONGOYAPE,67305489,NO,0
Lambayeque,Chiclayo,Chongoyape,MUNICIPALIDAD DE CHONGOYAPE,85643216,NO,0
Lambayeque,Chiclayo,Chongoyape,MUNICIPALIDAD DE CHONGOYAPE,50576788,NO,0
Lambayeque,Chiclayo,Chongoyape,MUNICIPALIDAD DE CHONGOYAPE,53998788,NO,0
Lambayeque,Chiclayo,Chongoyape,MUNICIPALIDAD DE CHONGOYAPE,76389002,SI,3000
Lambayeque,Chiclayo,Eten,MUNICIPALIDAD DE ETEN,66224260,NO,0
Lambayeque,Chiclayo,Eten,MUNICIPALIDAD DE ETEN,80334555,NO,0
Lambayeque,Chiclayo,Eten Puerto,MUNICIPALIDAD DE ETEN PUERTO,78319384,NO,0
Lambayeque,Chiclayo,Eten Puerto,MUNICIPALIDAD DE ETEN PUERTO,28563702,NO,0
Lambayeque,Chiclayo,Eten Puerto,MUNICIPALIDAD DE ETEN PUERTO,52880101,NO,0
Lambayeque,Chiclayo,Eten Puerto,MUNICIPALIDAD DE ETEN PUERTO,73778441,NO,0
Lambayeque,Chiclayo,Eten Puerto,MUNICIPALIDAD DE ETEN PUERTO,36704678,NO,0
Lambayeque,Chiclayo,José Leonardo Ortiz,MUNICIPALIDAD DE JOSÉ LEONARDO ORTIZ,55469008,NO,0
Lambayeque,Chiclayo,José Leonardo Ortiz,MUNICIPALIDAD DE JOSÉ LEONARDO ORTIZ,70775124,NO,0
Lambayeque,Chiclayo,La Victoria,MUNICIPALIDAD DE LA VICTORIA,83778455,NO,0
Lambayeque,Chiclayo,Lagunas,MUNICIPALIDAD DE LAGUNAS,80053930,NO,0
Lambayeque,Chiclayo,Monsefu,MUNICIPALIDAD DE MONSEFU,79537026,NO,0
Lambayeque,Chiclayo,Nueva Arica,MUNICIPALIDAD DE NUEVA ARICA,21718629,NO,0
Lambayeque,Chiclayo,Oyotun,MUNICIPALIDAD DE OYOTUN,54621838,NO,0
Lambayeque,Chiclayo,Picsi,MUNICIPALIDAD DE PICSI,51254272,NO,0
Lambayeque,Chiclayo,Pimentel,MUNICIPALIDAD DE PIMENTEL,22034817,NO,0
Lambayeque,Chiclayo,Reque,MUNICIPALIDAD DE REQUE,93667789,NO,0
Lambayeque,Chiclayo,Santa Rosa,MUNICIPALIDAD DE SANTA ROSA,49275272,NO,0
Lambayeque,Chiclayo,Saña,MUNICIPALIDAD DE SAÑA,85816636,NO,0
Lambayeque,Chiclayo,Cayalti,MUNICIPALIDAD DE CAYALTI,89691267,NO,0
Lambayeque,Chiclayo,Patapo,MUNICIPALIDAD DE PATAPO,88200982,NO,0
Lambayeque,Chiclayo,Pomalca,MUNICIPALIDAD DE POMALCA,17661025,SI,4000
Lambayeque,Chiclayo,Pucala,MUNICIPALIDAD DE PUCALA,34704615,NO,0
Lambayeque,Chiclayo,Tuman,MUNICIPALIDAD DE TUMAN,55472815,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,64741062,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,53586528,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,18531354,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,75175865,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,16177355,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,79226607,NO,0
Lambayeque,Ferreñafe,Ferreñafe,MUNICIPALIDAD DE FERREÑAFE,99574974,NO,0
Lambayeque,Ferreñafe,Cañaris,MUNICIPALIDAD DE CAÑARIS,30419640,NO,0
Lambayeque,Ferreñafe,Cañaris,MUNICIPALIDAD DE CAÑARIS,91716752,NO,0
Lambayeque,Ferreñafe,Cañaris,MUNICIPALIDAD DE CAÑARIS,75129861,NO,0
Lambayeque,Ferreñafe,Incahuasi,MUNICIPALIDAD DE INCAHUASI,95650935,NO,0
Lambayeque,Ferreñafe,Incahuasi,MUNICIPALIDAD DE INCAHUASI,90351832,NO,0
Lambayeque,Ferreñafe,Incahuasi,MUNICIPALIDAD DE INCAHUASI,49288385,SI,2500
Lambayeque,Ferreñafe,Incahuasi,MUNICIPALIDAD DE INCAHUASI,60605452,NO,0
Lambayeque,Ferreñafe,Manuel Antonio Mesones Muro,MUNICIPALIDAD DE MANUEL ANTONIO MESONES MURO,67780097,NO,0
Lambayeque,Ferreñafe,Pitipo,MUNICIPALIDAD DE PITIPO,88920336,NO,0
Lambayeque,Ferreñafe,Pitipo,MUNICIPALIDAD DE PITIPO,21633108,NO,0
Lambayeque,Ferreñafe,Pueblo Nuevo,MUNICIPALIDAD DE PUEBLO NUEVO,44043834,NO,0
Lambayeque,Lambayeque,Lambayeque,MUNICIPALIDAD DE LAMBAYEQUE,61804178,NO,0
Lambayeque,Lambayeque,Chochope,MUNICIPALIDAD DE CHOCHOPE,31917974,NO,0
Lambayeque,Lambayeque,Chochope,MUNICIPALIDAD DE CHOCHOPE,97328064,NO,0
